#物品表配置信息																									
#装备id（碎片的ID+1000；）	装备图标	装备名字	物品类型(2物品，3英雄，4装备)	物品介绍	装备品质（1白、2绿、3蓝、4紫、5橙、6橙1 、7橙2、 8橙3）	装备部位（1、武器；2、衣服；3、手套；4、鞋子；5、项链；6、戒指）	装备类型（1、整装；2、碎片）	套装类别(0、无；1、力；2、体；3、敏；4、智；5、专)	装备套装类型	装备触发套装技能需求数量	合成所需的碎片ID	合成整装所需碎片数量	出售价格（金币）	属性	隐藏属性1	隐藏属性2	隐藏属性3	隐藏属性3	隐藏属性3	套装属性	最大叠加数	精炼突破后的装备ID	是否穿着后绑定英雄（格式：0表示不绑定；1表示绑定）	获得后是否归公会统一分配（0，表示不分配，1表示归公会分配）	是否显示在公会副本展示中（0不显示，1显示）
int	string	string	int	string	int	int	int	int	int	int	int	int	float	int	int	int	int	int	int	int	int	int	int	int	int
class_id	icon	name	ob_type	describe	quality	equip_position	equip_type	set_type	suit_type	set_need_num	fragment_id	fragment_number	sell_price	attr_id	hide_attr1	hide_attr2	hide_attr3	hide_attr4	hide_attr5	set_attr	over_lap	breakthroughed_id	if_bound	if_get_distribution	if_display
10001	wuqi1-icon	开荒剑	4	这是一把普通的剑	1	1	1						100	1	10001	20001	30001	40001	50001		1		0	1	1
10002	yifu1-icon	后街T恤	4	这是一件普通的衣服	1	2	1						100	2	10002	20002	30002	40002	50002		1		0	1	1
10003	shoutao1-icon	牛仔手套	4	这是一副普通的手套	1	3	1						100	3	10003	20003	30003	40003	50003		1		0	1	1
10004	xiezi1-icon	学者板鞋	4	这是一双普通的鞋子	1	4	1						100	4	10004	20004	30004	40004	50004		1		0	1	1
10005	xianglian1-icon	防御项链	4	这是一条普通的项链	1	5	1						100	5	10005	20005	30005	40005	50005		1		0	1	1
10006	kuzi1-icon	力量长裤	4	这是一条普通的裤子	1	6	1						100	6	10006	20006	30006	40006	50006		1		0	1	
10007	wuqi1-icon	大铁剑	4	这是一把好一点的剑	2	1	1						200	7	10007	20007	30007	40007	50007		1		0	1	
10008	yifu1-icon	忍者T恤	4	这是一件好一点的衣服	2	2	1						200	8	10008	20008	30008	40008	50008		1		0	1	
10009	shoutao1-icon	攀岩手套	4	这是一副好一点的手套	2	3	1						200	9	10009	20009	30009	40009	50009		1		0	1	
10010	xiezi1-icon	征途板鞋	4	这是一双好一点的鞋	2	4	1						200	10	10010	20010	30010	40010	50010		1		0	1	
10011	xianglian1-icon	长风项链	4	这是一条好一点的项链	2	5	1						200	11	10011	20011	30011	40011	50011		1		0	1	
10012	kuzi1-icon	沧澜长裤	4	这是一条好一点的裤子	2	6	1						200	12	10012	20012	30012	40012	50012		1		0	1	
10013	wq1-icon	饮光剑	4	这是一把好两点的剑	3	1	1						300	13	10013	20013	30013	40013	50013		1		0	1	
10014	yf1-icon	智力T恤	4	这是一件好两点的衣服	3	2	1						300	14	10014	20014	30014	40014	50014		1		0	1	
10015	st1-icon	板钉手套	4	这是一副好两点的手套	3	3	1						300	15	10015	20015	30015	40015	50015		1		0	1	
10016	xz1-icon	荧光板鞋	4	这是一双好两点的鞋	3	4	1						300	16	10016	20016	30016	40016	50016		1		0	1	
10017	xl1-icon	雷云项链	4	这是一条好两点的项链	3	5	1						300	17	10017	20017	30017	40017	50017		1		0	1	
10018	kz1-icon	华纹长裤	4	这是一条好两点的裤子	3	6	1						300	18	10018	20018	30018	40018	50018		1		0	1	
10019	wq2-icon	穿云长剑	4	这是一把好三点的剑	4	1	1						500	19	10019	20019	30019	40019	50019		1		0	1	
10020	yf2-icon	炉火T恤	4	这是一件好三点的衣服	4	2	1						500	20	10020	20020	30020	40020	50020		1		0	1	
10021	st2-icon	疾速手套	4	这是一副好三点的手套	4	3	1						500	21	10021	20021	30021	40021	50021		1		0	1	
10022	xz2-icon	独步板鞋	4	这是一双好三点的鞋	4	4	1						500	22	10022	20022	30022	40022	50022		1		0	1	
10023	xl2-icon	王冠项链	4	这是一条好三点的项链	4	5	1						500	23	10023	20023	30023	40023	50023		1		0	1	
10024	kz2-icon	磁力长裤	4	这是一条好三点的裤子	4	6	1						500	24	10024	20024	30024	40024	50024		1		0	1	
10025	wq3-icon	暗·临风斩	4	这是一把带暗前缀的剑	5	1	1						1000	25	10025	20025	30025	40025	50025		1	10031	1	1	1
10026	yf3-icon	暗·沧之衣	4	这是一件带暗前缀的衣服	5	2	1						1000	26	10026	20026	30026	40026	50026		1	10032	1	1	1
10027	st3-icon	暗·夜手套	4	这是一副带暗前缀的手套	5	3	1						1000	27	10027	20027	30027	40027	50027		1	10033	1	1	1
10028	xz3-icon	暗·奥斯靴	4	这是一双带暗前缀的鞋	5	4	1						1000	28	10028	20028	30028	40028	50028		1	10034	1	1	1
10029	xl3-icon	暗·凌月链	4	这是一条带暗前缀的项链	5	5	1						1000	29	10029	20029	30029	40029	50029		1	10035	1	1	1
10030	kz3-icon	暗·流火裤	4	这是一条带暗前缀的裤子	5	6	1						1000	30	10030	20030	30030	40030	50030		1	10036	1	1	
10031	wq4-icon	掣·羽刃	4	这是一把带掣前缀的剑	6	1	1						5000	31	10031	20031	30031	40031	50031		1	10037	1	1	
10032	yf4-icon	掣·幻之衣	4	这是一件带掣前缀的衣服	6	2	1						5000	32	10032	20032	30032	40032	50032		1	10038	1	1	
10033	st4-icon	掣·战手套	4	这是一副带掣前缀的手套	6	3	1						5000	33	10033	20033	30033	40033	50033		1	10039	1	1	
10034	xz4-icon	掣·幻灵靴	4	这是一双带掣前缀的鞋	6	4	1						5000	34	10034	20034	30034	40034	50034		1	10040	1	1	
10035	xl4-icon	掣·雷火链	4	这是一条带掣前缀的项链	6	5	1						5000	35	10035	20035	30035	40035	50035		1	10041	1	1	
10036	kz4-icon	掣·密林裤	4	这是一条带掣前缀的裤子	6	6	1						5000	36	10036	20036	30036	40036	50036		1	10042	1	1	
10037	wq5-icon	炽·灼炎斩	4	这是一把带炽前缀的剑	7	1	1						10000	37	10037	20037	30037	40037	50037		1	10042	1	1	
10038	yf5-icon	炽·月风衣	4	这是一件带炽前缀的衣服	7	2	1						10000	38	10038	20038	30038	40038	50038		1	10043	1	1	
10039	st5-icon	炽·火手套	4	这是一副带炽前缀的手套	7	3	1						10000	39	10039	20039	30039	40039	50039		1	10044	1	1	
10040	xz5-icon	炽·归云靴	4	这是一双带炽前缀的鞋	7	4	1						10000	40	10040	20040	30040	40040	50040		1	10045	1	1	
10041	xl5-icon	炽·魔炎祭	4	这是一条带炽前缀的项链	7	5	1						10000	41	10041	20041	30041	40041	50041		1	10046	1	1	
10042	kz5-icon	炽·焰长裤	4	这是一条带炽前缀的裤子	7	6	1						10000	42	10042	20042	30042	40042	50042		1	10047	1	1	
10043	wq6-icon	禁·流光斩	4	这是一把带禁前缀的剑	8	1	1						20000	43	10043	20043	30043	40043	50043		1	10048	1	1	
10044	yf6-icon	禁·制盔甲	4	这是一件带禁前缀的衣服	8	2	1						20000	44	10044	20044	30044	40044	50044		1		1	1	
10045	st6-icon	禁·雷手套	4	这是一副带禁前缀的手套	8	3	1						20000	45	10045	20045	30045	40045	50045		1		1	1	
10046	xz6-icon	禁·归云影	4	这是一双带禁前缀的鞋	8	4	1						20000	46	10046	20046	30046	40046	50046		1		1	1	
10047	xl6-icon	禁·天火魂	4	这是一条带禁前缀的项链	8	5	1						20000	47	10047	20047	30047	40047	50047		1		1	1	
10048	kz6-icon	禁·苍月裤	4	这是一条带禁前缀的裤子	8	6	1						20000	48	10048	20048	30048	40048	50048		1		1	1	
10049	wq3-icon	力·突刺长剑	4	这是一把带着力角标的长剑	5	1	1	1	1	5			1000	25	10049	20049	30049	40049	50049	1	1	10079	1	1	
10050	yf3-icon	力·攻防T恤	4	这是一件带着力角标的衣服	5	2	1	1	1	5			1000	26	10050	20050	30050	40050	50050	1	1	10080	1	1	
10051	st3-icon	力·矮人手套	4	这是一副带着力角标的手套	5	3	1	1	1	5			1000	27	10051	20051	30051	40051	50051	1	1	10081	1	1	
10052	xz3-icon	力·地魔板鞋	4	这是一双带着力角标的鞋	5	4	1	1	1	5			1000	28	10052	20052	30052	40052	50052	1	1	10082	1	1	
10053	xl3-icon	力·防护项链	4	这是一条带着力角标的项链	5	5	1	1	1	5			1000	29	10053	20053	30053	40053	50053	1	1	10083	1	1	
10054	kz3-icon	力·猎音长裤	4	这是一条带着力角标的裤子	5	6	1	1	1	5			1000	30	10054	20054	30054	40054	50054	1	1	10084	1	1	
10055	wq4-icon	术·驱魔长剑	4	这是一把带着体角标的剑	5	1	1	2	2	5			5000	25	10055	20055	30055	40055	50055	2	1	10085	1	1	
10056	yf4-icon	术·魔法T恤	4	这是一件带着体角标的衣服	5	2	1	2	2	5			5000	26	10056	20056	30056	40056	50056	2	1	10086	1	1	
10057	st4-icon	术·战英手套	4	这是一副带着体角标的手套	5	3	1	2	2	5			5000	27	10057	20057	30057	40057	50057	2	1	10087	1	1	
10058	xz4-icon	术·风速板鞋	4	这是一双带着体角标的鞋	5	4	1	2	2	5			5000	28	10058	20058	30058	40058	50058	2	1	10088	1	1	
10059	xl4-icon	术·净化项链	4	这是一条带着体角标的项链	5	5	1	2	2	5			5000	29	10059	20059	30059	40059	50059	2	1	10089	1	1	
10060	kz4-icon	术·炎灵长裤	4	这是一条带着体角标的裤子	5	6	1	2	2	5			5000	30	10060	20060	30060	40060	50060	2	1	10090	1	1	
10061	wq5-icon	幻·风影剑	4	这是一把带着敏角标的剑	5	1	1	3	3	5			10000	25	10061	20061	30061	40061	50061	3	1	10091	1	1	
10062	yf5-icon	幻音T恤	4	这是一件带着敏角标的衣服	5	2	1	3	3	5			10000	26	10062	20062	30062	40062	50062	3	1	10092	1	1	
10063	st5-icon	幻·禁风手套	4	这是一副带着敏角标的手套	5	3	1	3	3	5			10000	27	10063	20063	30063	40063	50063	3	1	10093	1	1	
10064	xz5-icon	幻·精灵板鞋	4	这是一双带着敏角标的鞋	5	4	1	3	3	5			10000	28	10064	20064	30064	40064	50064	3	1	10094	1	1	
10065	xl5-icon	幻魔项链	4	这是一条带着敏角标的项链	5	5	1	3	3	5			10000	29	10065	20065	30065	40065	50065	3	1	10095	1	1	
10066	kz5-icon	幻·法师长裤	4	这是一条带着敏角标的裤子	5	6	1	3	3	5			10000	30	10066	20066	30066	40066	50066	3	1	10096	1	1	
10067	wq6-icon	智·魔齿剑	4	这是一把带着智角标的剑	5	1	1	4	4	5			20000	25	10067	20067	30067	40067	50067	4	1	10097	1	1	
10068	yf6-icon	智·使魔T恤	4	这是一把带着智角标的衣服	5	2	1	4	4	5			20000	26	10068	20068	30068	40068	50068	4	1	10098	1	1	
10069	st6-icon	智·结印手套	4	这是一把带着智角标的手套	5	3	1	4	4	5			20000	27	10069	20069	30069	40069	50069	4	1	10099	1	1	
10070	xz6-icon	智·侍影板鞋	4	这是一把带着智角标的鞋	5	4	1	4	4	5			20000	28	10070	20070	30070	40070	50070	4	1	10100	1	1	
10071	xl6-icon	智·灵媒项链	4	这是一把带着智角标的项链	5	5	1	4	4	5			20000	29	10071	20071	30071	40071	50071	4	1	10101	1	1	
10072	kz6-icon	智·军师长裤	4	这是一把带着智角标的裤子	5	6	1	4	4	5			20000	30	10072	20072	30072	40072	50072	4	1	10102	1	1	
10073	wq7-icon	封·祭祀长剑	4	这是一把带着专角标的剑	5	1	1	5	5	5			1000	25	10073	20073	30073	40073	50073	5	1	10103	1	1	
10074	yf7-icon	封·护甲T恤	4	这是一件带着专角标的衣服	5	2	1	5	5	5			1000	26	10074	20074	30074	40074	50074	5	1	10104	1	1	
10075	st7-icon	封·谷峰手套	4	这是一副带着专角标的手套	5	3	1	5	5	5			1000	27	10075	20075	30075	40075	50075	5	1	10105	1	1	
10076	xz7-icon	封·领域板鞋	4	这是一双带着专角标的鞋	5	4	1	5	5	5			1000	28	10076	20076	30076	40076	50076	5	1	10106	1	1	
10077	xl7-icon	封·夜魔项链	4	这是一条带着专角标的项链	5	5	1	5	5	5			1000	29	10077	20077	30077	40077	50077	5	1	10107	1	1	
10078	kz7-icon	封·沉光长裤	4	这是一条带着专角标的裤子	5	6	1	5	5	5			1000	30	10078	20078	30078	40078	50078	5	1	10108	1	1	
10079	wq8-icon	力·噬魂斩	4	这是一把带着力角标的长剑	6	1	1	1	6	5			5000	31	10079	20079	30079	40079	50079	6	1	10109	1	1	
10080	yf8-icon	力·沧溟衣	4	这是一件带着力角标的衣服	6	2	1	1	6	5			5000	32	10080	20080	30080	40080	50080	6	1	10110	1	1	
10081	st8-icon	力·风手套	4	这是一副带着力角标的手套	6	3	1	1	6	5			5000	33	10081	20081	30081	40081	50081	6	1	10111	1	1	
10082	xz8-icon	力·凌空靴	4	这是一双带着力角标的鞋	6	4	1	1	6	5			5000	34	10082	20082	30082	40082	50082	6	1	10112	1	1	
10083	xl8-icon	力·原影祭	4	这是一条带着力角标的项链	6	5	1	1	6	5			5000	35	10083	20083	30083	40083	50083	6	1	10113	1	1	
10084	kz8-icon	力·幻林裤	4	这是一条带着力角标的裤子	6	6	1	1	6	5			5000	36	10084	20084	30084	40084	50084	6	1	10114	1	1	
10085	wq9-icon	术·临风斩	4	这是一把带着体角标的剑	6	1	1	2	7	5			10000	31	10085	20085	30085	40085	50085	7	1	10115	1	1	
10086	yf9-icon	术·折焰甲	4	这是一件带着体角标的衣服	6	2	1	2	7	5			10000	32	10086	20086	30086	40086	50086	7	1	10116	1	1	
10087	st9-icon	术·木手套	4	这是一副带着体角标的手套	6	3	1	2	7	5			10000	33	10087	20087	30087	40087	50087	7	1	10117	1	1	
10088	xz9-icon	术·幻灵靴	4	这是一双带着体角标的鞋	6	4	1	2	7	5			10000	34	10088	20088	30088	40088	50088	7	1	10118	1	1	
10089	xl9-icon	术·雷火链	4	这是一条带着体角标的项链	6	5	1	2	7	5			10000	35	10089	20089	30089	40089	50089	7	1	10119	1	1	
10090	kz9-icon	术·林影裤	4	这是一条带着体角标的裤子	6	6	1	2	7	5			10000	36	10090	20090	30090	40090	50090	7	1	10120	1	1	
10091	wq10-icon	幻·凌光刃	4	这是一把带着敏角标的剑	6	1	1	3	8	5			20000	31	10091	20091	30091	40091	50091	8	1	10121	1	1	
10092	yf10-icon	幻·封魔衣	4	这是一件带着敏角标的衣服	6	2	1	3	8	5			20000	32	10092	20092	30092	40092	50092	8	1	10122	1	1	
10093	st10-icon	幻·炎手套	4	这是一副带着敏角标的手套	6	3	1	3	8	5			20000	33	10093	20093	30093	40093	50093	8	1	10123	1	1	
