#物品表配置信息																				
#物品id	物品图标	物品名字	物品类型(2物品，3英雄，5装备碎片)	物品类型名称（1.英雄整卡（ID和roledetail表对应）；2、英雄碎片；3相框；4、宝石；5概括显示未知装备）	物品介绍	限制等级（0表示不限制等级）	物品品质（1白、2绿、3蓝、4紫、5橙、6橙1、 7橙2、 8橙3）	物品类型（1.英雄整卡；2、英雄碎片；3、英雄经验丹；4、强化石;5、星座激活材料；6、碎片；7、金币；8、装备；9、体力丹；10、宝箱；11、钻石；12扫荡券；13决斗币；14竞技币；15龙币；16积分币；17VIP；18书页；19精炼石；20突破石；21装备碎片；22相框激活物品；23力量宝石；24敏捷宝石；25智力宝石；26体质宝石；27专注宝石）28风之技能材料、29木之技能材料、30雷之技能材料、31冰之技能材料、32火之技能材料、33VIP经验卡 34概括显示性物品 35 队伍经验卡）	物品效果（对应物品类型起作用:1、整卡使用后转化成对应英雄碎片数量；3、经验值；4、强化经验值；5、星座相对位置ID；7、使用后获得对应的金币数量；8装备；9、使用后获得对应数量的体力；10、对应宝箱子表的宝箱ID；11、对应的钻石数量；12激活相应书籍；13激活相应相框	合成后的物品ID	合成所需的碎片数量	合成所需费用	出售价格（金币）	最大叠加数	是否可使用（1、可使用；0、不可使用）	是否获得自动使用（0表示不自动使用；1表示自动使用）	套装类别(装备碎片特有)	是否可出售（1是、2否）	获得后是否归公会统一分配（0，表示不分配，1表示归公会分配）	是否显示在公会副本展示中（0不显示，1显示）
int	string	string	int	string	string	int	int	int	int	int	int	int	float	int	int	int	int	int	int	int
class_id	icon	name	ob_type	class_name	describe	level	quality	item_type	item_effect	merge_item_id	merge_item_number	merge_cost	sell_price	over_lap	if_use	if_get_use	set_type	if_sale	if_get_distribution	if_display
3	touxiang-heiyan	山石姬	3	英雄整卡	使用获得山石姬	0	5	1	5				500	1	0	1			1	
4	touxiang-lvjuren	鸡肉蓝	3	英雄整卡	使用获得肌肉蓝	0	5	1	5				500	1	0	1			1	
5	touxiang-sishen	死神	3	英雄整卡	使用获得死神	0	5	1	5				500	1	0	1			1	
#6	touxiang-caotijing	技术草	3	英雄整卡	使用获得技术草	0	5	1	5				500	1	0	1			1	
#7	touxiang-zuozhu	佐小弟	3	英雄整卡	使用获得佐小弟	0	5	1	30				500	1	0	1			1	
#8	touxiang-lufei	吃货一郎	3	英雄整卡	使用获得吃货一郎	0	5	1	15				500	1	0	1			1	
9	touxiang-amumu	僵sir	3	英雄整卡	使用获得僵sir	0	5	1	15				500	1	0	1			1	
10	touxiang-mianhuatang	糯米团子	3	英雄整卡	使用获得糯米团子	0	5	1	30				500	1	0	1			1	
11	touxiang-jinganglang	暴走战狼	3	英雄整卡	使用获得暴走战狼	0	5	1	30				500	1	0	1			1	
12	touxiang-jiqiren	晴天硬汉	3	英雄整卡	使用获得晴天硬汉	0	5	1	30				500	1	0	1			1	
13	touxiang-xiongmao	胖哒	3	英雄整卡	使用获得胖哒	0	5	1	30				500	1	0	1			1	
14	touxiang-paojie	炮姐	3	英雄整卡	使用获得炮姐	0	5	1	30				500	1	0	1			1	
