#该表存储各个实体要下发给客户端的信息的字段名；在各个状态下，判断某个字段是否要发送			
string	string	string	string
type	attrib	group	desc
OB_TYPE_USER	rid	*	RID
OB_TYPE_USER	name	*	名字
OB_TYPE_USER	level	SELF|SIMPLE|DETAIL	玩家等级
OB_TYPE_USER	1-*	SELF	装扮页面
OB_TYPE_USER	2-*	SELF	装扮页面
OB_TYPE_USER	3-*	SELF	装扮页面
OB_TYPE_USER	4-*	SELF	装扮页面
OB_TYPE_USER	5-*	SELF	装扮页面
OB_TYPE_USER	7-*	SELF	装扮页面
OB_TYPE_USER	8-*	SELF|CARRY	装扮页面
OB_TYPE_USER	9-*	SELF|CARRY	装扮页面
OB_TYPE_USER	10-*	SELF	装扮页面
OB_TYPE_USER	14-*	SELF	宝石背包
OB_TYPE_USER	15-*	SELF	考古背包
OB_TYPE_USER	16-*	SELF	已装备宝石页面
OB_TYPE_USER	17-*	SELF	已装备的印鉴页面
OB_TYPE_USER	direction	SIMPLE	朝向
OB_TYPE_USER	money	SELF	金钱
OB_TYPE_USER	flower	SELF	鲜花数
OB_TYPE_USER	account	SELF|DETAIL	帐号
OB_TYPE_USER	online_time	SELF	当天在线时间(秒)
OB_TYPE_USER	status	SELF|SIMPLE	玩家状态
OB_TYPE_USER	status_cond	SELF	状态条件
OB_TYPE_USER	shrine_count 	SELF	玩家精灵神殿挑战次数
OB_TYPE_USER	shrine_pos 	SELF	玩家精灵神殿挑战位置
OB_TYPE_USER	flower_send_times	SELF	玩家通过各种方式赠送鲜花的次数
OB_TYPE_USER	item_store_size	SELF	道具仓库大小
OB_TYPE_USER	exp	SELF	阅历值
OB_TYPE_USER	pet_exp	SELF	魂槽
OB_TYPE_USER	skill	SELF	召唤师技能
OB_TYPE_USER	improvement	SELF	附加属性
OB_TYPE_USER	gender	SELF|SIMPLE|DETAIL	玩家性别
OB_TYPE_USER	his_evaluate	SELF	副本历史评价
OB_TYPE_USER	cur_container_size	SELF	当前背包大小
OB_TYPE_USER	head	SELF|DETAIL	头像
OB_TYPE_USER	server_id	DETAIL	玩家服务器编号
OB_TYPE_USER	embattle_list	SELF	玩家当前布阵列表
OB_TYPE_USER	soul	SELF	灵魂碎片
OB_TYPE_USER	warrior_tower_info	SELF	勇士之塔信息
OB_TYPE_USER	vp	SELF	玩家疲劳值
OB_TYPE_USER	trousers	SELF|SIMPLE|DETAIL	裤子
OB_TYPE_USER	frock	SELF|SIMPLE|DETAIL	衣服
OB_TYPE_USER	right	SELF|SIMPLE|DETAIL	武器
OB_TYPE_USER	shoes	SELF|SIMPLE|DETAIL	鞋子
OB_TYPE_USER	hair	SELF|SIMPLE|DETAIL	头盔
OB_TYPE_USER	week_money	SELF	每周金钱
OB_TYPE_USER	week_level	SELF	每周提升等级
OB_TYPE_USER	week_soul	SELF	每周灵魂碎片
OB_TYPE_USER	week_flower	SELF	每周鲜花获得
OB_TYPE_USER	assign_daily_times	SELF	日悬赏任务已接受次数
OB_TYPE_USER	activity 	SELF	活动数据
OB_TYPE_USER	daily_refresh_time	SELF	日悬赏任务刷新时间
OB_TYPE_USER	shortcut_key	SELF	玩家快捷键
OB_TYPE_USER	enter_train_times	SELF	每日进入试炼之地的次数
OB_TYPE_USER	deblock_level	SELF	玩家已解封到的等级
OB_TYPE_USER	user_title	SELF|SIMPLE	玩家正在使用的称号
OB_TYPE_USER	incubate	SELF	机甲龙孵化系统数据
OB_TYPE_USER	interact_time	SELF	机甲龙孵化系统时间数据
OB_TYPE_USER	family_name	SIMPLE	在场景外观中显示家族名字
OB_TYPE_USER	family_daily_value	SELF	家族领取奖励的判断数据
OB_TYPE_ITEM	rid	*	RID
OB_TYPE_ITEM	class_id	SELF|SIMPLE	CLASS_ID
OB_TYPE_ITEM	pos	SELF	位置
OB_TYPE_ITEM	amount	SELF|SIMPLE	数量
OB_TYPE_ITEM	ob_type	SELF|SIMPLE	对象类型
OB_TYPE_ITEM	owner_rid	SIMPLE	所有者
OB_TYPE_ITEM	disappear	SELF	第二类限时道具消失时间
OB_TYPE_NPC	rid	*	RID
OB_TYPE_NPC	name	SELF|SIMPLE	名字
OB_TYPE_NPC	class_id	SELF|SIMPLE	CLASS_ID
OB_TYPE_NPC	npc_id	SELF|SIMPLE	NPC编号
OB_TYPE_NPC	direction	SIMPLE	朝向
OB_TYPE_MONSTER	rid	*	RID
OB_TYPE_MONSTER	name	SELF|SIMPLE	名字
OB_TYPE_MONSTER	max_hp	SELF|SIMPLE	最大血量值
OB_TYPE_MONSTER	hp	SELF|SIMPLE	当前血量值
OB_TYPE_MONSTER	level	SELF|SIMPLE	宠物等级
OB_TYPE_MONSTER	class_id	SELF|SIMPLE	CLASS_ID
OB_TYPE_MONSTER	direction	SIMPLE	朝向
OB_TYPE_MONSTER	ob_type	SELF|SIMPLE	对象类型
OB_TYPE_MONSTER	boss_type	SIMPLE	是否为BOSS
OB_TYPE_MONSTER	skill	SIMPLE	技能
OB_TYPE_MONSTER	speed	SELF|SIMPLE	移动速度
OB_TYPE_HERO	rid	*	RID
OB_TYPE_HERO	horoscope	SELF|SIMPLE	星座
OB_TYPE_HERO	star	SELF|SIMPLE	星级
OB_TYPE_HERO	exp	SELF	经验
OB_TYPE_HERO	leader	SELF	站位
OB_TYPE_HERO	lv	SELF|SIMPLE	英雄 等级
OB_TYPE_HERO	class_id	SELF|SIMPLE	CLASS_ID
OB_TYPE_HERO	skills	SELF|SIMPLE	技能
OB_TYPE_HERO	owner	SIMPLE	属主
OB_TYPE_HERO	ob_type	SELF|SIMPLE	对象类型
OB_TYPE_EQUIP	rid	*|CARRY	RID
OB_TYPE_EQUIP	class_id	SELF|SIMPLE|CARRY	CLASS_ID
OB_TYPE_EQUIP	pos	SELF|CARRY	位置
OB_TYPE_EQUIP	ob_type	SELF|SIMPLE|CARRY	对象类型
OB_TYPE_EQUIP	lv	SELF|CARRY	强化等级
OB_TYPE_EQUIP	owner	SIMPLE|CARRY	所有者
OB_TYPE_EQUIP	exp	SELF|CARRY	装备经验（宝石）
