# 对象属性公式表			
#属性	对象类型	公式	备注
string	string	string	string
attrib	ob_type	formula	desc
attack	OB_TYPE_USER	CALC_USER_ATTACK_ATTRIB	计算角色最终的物理攻击力
magic_attack	OB_TYPE_USER	CALC_USER_MAGIC_ATTACK_ATTRIB	计算角色最终的技能攻击力
defense	OB_TYPE_USER	CALC_USER_DEFENSE_ATTRIB	计算角色最终的防御力
critical	OB_TYPE_USER	CALC_USER_CRITICAL_ATTRIB	计算角色最终的暴击力概率
critical_damage	OB_TYPE_USER	CALC_USER_CRITICAL_DAMAGE_ATTRIB	计算暴击的伤害效果
halo_power	OB_TYPE_USER	CALC_USER_HALO_POWER_ATTRIB	计算角色最终的光辉之力
max_hp	OB_TYPE_USER	CALC_USER_MAX_HP	计算角色最终的气血上限
critical_reduce	OB_TYPE_USER	CALC_USER_CRITICAL_REDUCE_ATTRIB	角色暴击抵抗
damage_reduce	OB_TYPE_USER	CALC_USER_DAMAGE_REDUCE_ATTRIB	伤害减免
defense_reduce	OB_TYPE_USER	CALC_USER_DEFENSE_REDUCE_ATTRIB	破甲
cd_reduce	OB_TYPE_USER	CALC_USER_COOLDOWN_REDUCE	冷却缩减
hp_recover	OB_TYPE_USER	CALC_USER_HP_RECOVER_ATTRIB	气血回复
attack_recover	OB_TYPE_USER	CALC_USER_ATTACK_RECOVER_ATTRIB	攻击吸血
skill	OB_TYPE_USER	CALC_USER_SKILL_ATTRIB	
speed	OB_TYPE_USER	CALC_USER_SPEED_ATTRIB	移动速度
status	OB_TYPE_USER	CALC_STATUS_ATTRIB	
status_cond	OB_TYPE_USER	CALC_STATUS_COND_ATTRIB	
room_pos	OB_TYPE_USER	CALC_USER_ROOM_POS_ATTRIB	当前坐标
assign_daily_limit	OB_TYPE_USER	CALC_USER_ASSIGN_DAILY_LIMIT	悬赏令任务最大接取数
attack	OB_TYPE_EQUIP	CALC_EQUIP_ATTRIB	计算装备的6个属性
magic_attack	OB_TYPE_EQUIP	CALC_EQUIP_ATTRIB	计算装备的6个属性
max_hp	OB_TYPE_EQUIP	CALC_EQUIP_ATTRIB	计算装备的6个属性
defense	OB_TYPE_EQUIP	CALC_EQUIP_ATTRIB	计算装备的6个属性
critical	OB_TYPE_EQUIP	CALC_EQUIP_ATTRIB	计算装备的6个属性
enya_power	OB_TYPE_EQUIP	CALC_EQUIP_ATTRIB	计算装备的6个属性
level	OB_TYPE_EQUIP	CALC_EQUIP_LEVEL	计算装备的6个属性
color	OB_TYPE_EQUIP	CALC_EQUIP_COLOR	计算装备的颜色
name	OB_TYPE_EQUIP	CALC_EQUIP_NAME	装备名字
adventure_limit	OB_TYPE_USER	CALC_ADVENTURE_MAX_TIME_PER_DAY	考古系统每天次数限制
pet_max_exp	OB_TYPE_USER	CALC_MAX_PETEXP_STORE_VALUE	计算灵魂结晶上限
adventure_times	OB_TYPE_USER	GET_ADVENTURE_TIMES	获取玩家考古次数
