#经验配置表	
#等级	到达下级所需的经验
int	int
level	exp
1	10
2	10
3	10
4	15
5	15
6	15
7	25
8	35
9	45
10	55
11	65
12	75
13	85
14	95
15	105
16	115
17	125
18	135
19	145
20	155
21	175
22	195
23	215
24	235
25	255
26	315
27	375
28	435
29	495
30	555
31	675
32	795
33	915
34	1035
35	1155
36	1315
37	1475
38	1635
39	1795
40	1955
41	2195
42	2435
43	2675
44	2915
45	3155
46	3395
47	3635
48	3875
49	4115
50	4355
51	4595
52	4835
53	5075
54	5315
55	5555
56	5795
57	6035
58	6275
59	6515
60	6755
61	6995
62	7235
63	7475
64	7715
65	7955
66	8195
67	8435
68	8675
69	8915
70	9155
71	9395
72	9635
73	9875
74	10115
75	10355
76	10595
77	10835
78	11075
79	11315
80	11555
81	11795
82	12035
83	12275
84	12515
85	12755
86	12995
87	13235
88	13475
89	13715
90	13955
